Phone,Price,Mobile Link,Brand
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹12,999",https://www.flipkart.com/samsung-galaxy-f15-5g-groovy-violet-128-gb/p/itmd0aaf528709de?pid=MOBGYBAVSDFYZFNY&lid=LSTMOBGYBAVSDFYZFNY0YSXRQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&fm=organic&iid=en_4ubNTcN2_8AV5sYkCjHzEu8oxPVXUWeiNAKscICwtko8cxNUdpmJVhMvSsIuSqCWhLk4k3JsJpBZV2g0tyoN3fUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,SAMSUNG
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹17,499",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZIOJLVZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&fm=organic&iid=145313f0-36ed-4ab7-8fb1-812b5ba68dc2.MOBGZJ3WM5SGTGVZ.SEARCH&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,OnePlus
"vivo T2x 5G (Glimmer Black, 128 GB)","₹14,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEW3VLBC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=browse&fm=organic&iid=145313f0-36ed-4ab7-8fb1-812b5ba68dc2.MOBGZBFUZEMCKRGE.SEARCH&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,vivo
"vivo T2x 5G (Black Gladiator, 128 GB)","₹14,999",https://www.flipkart.com/vivo-t2x-5g-black-gladiator-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGXZG9GWN7SMQK&lid=LSTMOBGXZG9GWN7SMQKBTE6JO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_35&otracker=browse&fm=organic&iid=145313f0-36ed-4ab7-8fb1-812b5ba68dc2.MOBGXZG9GWN7SMQK.SEARCH&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,vivo
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,290",https://www.flipkart.com/nokia-105-single-sim-keypad-mobile-phone-wireless-fm-radio/p/itm1e2206f816463?pid=MOBGQFVGYU2F5CYT&lid=LSTMOBGQFVGYU2F5CYTWFPKTG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_36&otracker=browse&fm=organic&iid=145313f0-36ed-4ab7-8fb1-812b5ba68dc2.MOBGQFVGYU2F5CYT.SEARCH&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,Nokia
"REDMI 12 5G (Jade Black, 128 GB)","₹11,999",https://www.flipkart.com/redmi-12-5g-jade-black-128-gb/p/itmb7b9567637d5c?pid=MOBGS9QU7QVWUWRD&lid=LSTMOBGS9QU7QVWUWRDWPHNEP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_37&otracker=browse&fm=organic&iid=en_4ubNTcN2_8AV5sYkCjHzEu8oxPVXUWeiNAKscICwtkqInNdCge6pIz32a2CYDawn1TTM_JEZgyfPKkEL7ypz8PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,REDMI
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹14,499",https://www.flipkart.com/samsung-galaxy-f15-5g-jazzy-green-128-gb/p/itm3202236886884?pid=MOBGYBAVKWJWSNNQ&lid=LSTMOBGYBAVKWJWSNNQQBJZHM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_38&otracker=browse&fm=organic&iid=en_4ubNTcN2_8AV5sYkCjHzEu8oxPVXUWeiNAKscICwtkpqr3xZLe-RDsvb3GPdSaPIeY9EBPqFKwGYv3ptPCd7vvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,SAMSUNG
"REDMI 13C (Stardust Black, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-stardust-black-128-gb/p/itm9b22752239e4d?pid=MOBGW4HKVU4ZGZFZ&lid=LSTMOBGW4HKVU4ZGZFZCHB6WV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_39&otracker=browse&fm=organic&iid=145313f0-36ed-4ab7-8fb1-812b5ba68dc2.MOBGW4HKVU4ZGZFZ.SEARCH&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,REDMI
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹17,549",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNNZJMSB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_40&otracker=browse&fm=organic&iid=145313f0-36ed-4ab7-8fb1-812b5ba68dc2.MOBGZJ42KHUZZKMN.SEARCH&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,OnePlus
"SAMSUNG Galaxy A15 5G (Blue Black, 128 GB)","₹19,499",https://www.flipkart.com/samsung-galaxy-a15-5g-blue-black-128-gb/p/itmef383f04d3bf0?pid=MOBGWD85ZUA8BMDZ&lid=LSTMOBGWD85ZUA8BMDZUAXCNF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_41&otracker=browse&fm=organic&iid=en_4ubNTcN2_8AV5sYkCjHzEu8oxPVXUWeiNAKscICwtko6EYtJoqFYxGifqShv8aXpTh1-ygBEOOJ9kZbGsHpP2vUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=j9hrwnfoe80000001713044727773,SAMSUNG
