Phone,Price,Mobile Link,Brand,Color,Storage
"REDMI 13C (Starfrost White, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_36&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGWUHSZKWBZQWJ.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,REDMI,Groovy Violet,128 GB
"Motorola G34 5G (Ocean Green, 128 GB)","₹10,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm3420a8e79e129?pid=MOBGUFK49KDBZUMC&lid=LSTMOBGUFK49KDBZUMCRZHEGQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_37&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGUFK49KDBZUMC.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,Motorola,Starshine Green,128 GB
"Apple iPhone 15 (Blue, 128 GB)","₹65,999",https://www.flipkart.com/apple-iphone-15-blue-128-gb/p/itmbf14ef54f645d?pid=MOBGTAGPAQNVFZZY&lid=LSTMOBGTAGPAQNVFZZYO7HQ2L&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_38&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGTAGPAQNVFZZY.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,Apple,Satin Blue,64 GB
"REDMI 13C (Starshine Green, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starshine-green-128-gb/p/itmc4f0763fb3a50?pid=MOBGW4HKUXHFDYU2&lid=LSTMOBGW4HKUXHFDYU2WMFCCU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_39&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGW4HKUXHFDYU2.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,REDMI,Glacier Blue,128 GB
"POCO C65 (Matte Black, 128 GB)","₹7,999",https://www.flipkart.com/poco-c65-matte-black-128-gb/p/itme8d1e736a1e3f?pid=MOBGVVTXBXRRZEUK&lid=LSTMOBGVVTXBXRRZEUKZU2IO7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_40&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGVVTXBXRRZEUK.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,POCO,Sea Green,64 GB
"vivo T2 Pro 5G (New Moon Black, 256 GB)","₹24,999",https://www.flipkart.com/vivo-t2-pro-5g-new-moon-black-256-gb/p/itm1230688cdef18?pid=MOBGT4RZMZFEWDY7&lid=LSTMOBGT4RZMZFEWDY7EEVQUQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_41&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGT4RZMZFEWDY7.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,vivo,Jade Black,128 GB
"REDMI 13C (Stardust Black, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-stardust-black-128-gb/p/itm9b22752239e4d?pid=MOBGW4HKVU4ZGZFZ&lid=LSTMOBGW4HKVU4ZGZFZCHB6WV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_42&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGW4HKVU4ZGZFZ.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,REDMI,Jazzy Green,128 GB
"vivo T2 Pro 5G (Dune Gold, 128 GB)","₹23,999",https://www.flipkart.com/vivo-t2-pro-5g-dune-gold-128-gb/p/itm1230688cdef18?pid=MOBGT4RZCFZWHGKT&lid=LSTMOBGT4RZCFZWHGKTC6OIFL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_43&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGT4RZCFZWHGKT.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,vivo,Glimmer Black,128 GB
"vivo T2 Pro 5G (New Moon Black, 128 GB)","₹23,999",https://www.flipkart.com/vivo-t2-pro-5g-new-moon-black-128-gb/p/itm1230688cdef18?pid=MOBGT4RZRRET8QQS&lid=LSTMOBGT4RZRRET8QQSIULEMX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_44&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGT4RZRRET8QQS.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,vivo,Ice Blue,128 GB
"vivo T2 Pro 5G (Dune Gold, 256 GB)","₹24,999",https://www.flipkart.com/vivo-t2-pro-5g-dune-gold-256-gb/p/itm1230688cdef18?pid=MOBGT4RZUPKD8HDK&lid=LSTMOBGT4RZUPKD8HDK4QMUBF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_45&otracker=browse&fm=organic&iid=3ad28be6-9854-4cde-b0e5-6c6b463f7351.MOBGT4RZUPKD8HDK.SEARCH&ppt=None&ppn=None&ssid=tq2h805urk0000001713283636332,vivo,Blue Black,128 GB
